GameID,Date,Home,WINorLOSS,FieldGoals,FieldGoals.,X3PointShots,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls
1,10/29/2014,Away,L,40,0.5,13,0.591,9,17,0.529,10,42,26,6,8,17,24
2,11/1/2014,Home,W,35,0.507,7,0.35,25,33,0.758,3,37,26,10,6,12,20
3,11/5/2014,Away,L,38,0.413,8,0.32,8,11,0.727,10,37,26,14,5,13,25
4,11/7/2014,Away,L,43,0.462,13,0.394,20,26,0.769,7,38,28,8,3,19,33
5,11/8/2014,Home,W,33,0.407,9,0.409,28,36,0.778,12,41,18,10,5,8,17
6,11/10/2014,Away,W,27,0.38,10,0.37,27,28,0.964,9,38,20,7,3,15,16
7,11/12/2014,Home,W,39,0.513,9,0.45,13,18,0.722,13,46,23,8,4,18,12
8,11/14/2014,Home,W,42,0.56,11,0.393,19,23,0.826,3,36,33,10,5,13,20
9,11/15/2014,Away,L,40,0.444,3,0.136,11,13,0.846,11,37,26,6,8,18,12
10,11/18/2014,Home,L,41,0.482,9,0.333,18,23,0.783,13,38,22,7,3,10,17
11,11/21/2014,Home,W,38,0.475,5,0.208,18,26,0.692,8,46,20,7,5,9,18
12,11/25/2014,Away,W,36,0.424,7,0.28,27,34,0.794,12,43,17,16,6,10,23
13,11/26/2014,Home,L,42,0.512,10,0.417,21,24,0.875,9,32,31,2,4,13,24
14,11/28/2014,Home,W,38,0.5,5,0.294,19,22,0.864,11,42,26,6,7,18,14
15,11/29/2014,Home,W,40,0.533,12,0.522,13,16,0.813,5,44,31,8,5,12,17
16,12/2/2014,Home,W,43,0.524,11,0.458,12,14,0.857,4,31,36,8,8,16,14
17,12/3/2014,Away,W,40,0.541,12,0.48,20,23,0.87,5,30,25,9,1,16,24
18,12/5/2014,Away,W,35,0.432,13,0.382,15,24,0.625,6,46,22,12,4,10,22
19,12/7/2014,Home,W,36,0.414,10,0.37,14,19,0.737,11,43,26,9,4,12,15
20,12/8/2014,Away,W,40,0.519,9,0.429,19,27,0.704,6,47,27,11,7,16,20
21,12/10/2014,Home,W,38,0.418,10,0.333,9,13,0.692,16,52,26,15,1,14,16
22,12/12/2014,Home,W,29,0.372,9,0.31,20,27,0.741,5,42,24,12,3,12,12
23,12/13/2014,Away,L,35,0.417,8,0.296,21,24,0.875,9,41,24,4,4,10,19
24,12/15/2014,Home,W,36,0.434,7,0.333,14,17,0.824,5,40,26,10,7,9,17
25,12/17/2014,Away,W,49,0.645,16,0.571,13,16,0.813,6,40,36,3,5,9,17
26,12/20/2014,Away,W,38,0.514,10,0.385,18,24,0.75,4,37,26,7,9,15,15
27,12/22/2014,Away,W,40,0.494,7,0.368,18,27,0.667,6,43,26,6,6,17,21
28,12/23/2014,Home,W,34,0.447,12,0.522,27,35,0.771,9,43,28,6,3,14,21
29,12/26/2014,Home,L,31,0.408,4,0.174,11,14,0.786,8,38,20,8,4,22,19
30,12/27/2014,Away,W,33,0.367,9,0.31,15,19,0.789,17,51,25,9,4,11,17
31,12/30/2014,Home,W,40,0.506,10,0.345,19,26,0.731,7,44,23,13,5,15,19
32,1/2/2015,Away,W,33,0.407,6,0.261,26,30,0.867,11,47,24,9,3,10,17
33,1/3/2015,Away,W,43,0.512,6,0.353,23,31,0.742,10,46,17,9,5,14,15
